Episode: 0/500, Score: 20.0, Epsilon: 1.0
Episode: 1/500, Score: 11.0, Epsilon: 0.99
Episode: 2/500, Score: 24.0, Epsilon: 0.98
Episode: 3/500, Score: 12.0, Epsilon: 0.97
Episode: 4/500, Score: 20.0, Epsilon: 0.96
Episode: 5/500, Score: 11.0, Epsilon: 0.95
Episode: 6/500, Score: 49.0, Epsilon: 0.94
Episode: 7/500, Score: 18.0, Epsilon: 0.93
Episode: 8/500, Score: 12.0, Epsilon: 0.92
Episode: 9/500, Score: 12.0, Epsilon: 0.91
Episode: 10/500, Score: 18.0, Epsilon: 0.9
Episode: 11/500, Score: 27.0, Epsilon: 0.9
Episode: 12/500, Score: 55.0, Epsilon: 0.89
Episode: 13/500, Score: 24.0, Epsilon: 0.88
Episode: 14/500, Score: 22.0, Epsilon: 0.87
Episode: 15/500, Score: 12.0, Epsilon: 0.86
Episode: 16/500, Score: 17.0, Epsilon: 0.85
Episode: 17/500, Score: 22.0, Epsilon: 0.84
Episode: 18/500, Score: 30.0, Epsilon: 0.83
Episode: 19/500, Score: 18.0, Epsilon: 0.83
Episode: 20/500, Score: 73.0, Epsilon: 0.82
Episode: 21/500, Score: 15.0, Epsilon: 0.81
Episode: 22/500, Score: 12.0, Epsilon: 0.8
Episode: 23/500, Score: 57.0, Epsilon: 0.79
Episode: 24/500, Score: 23.0, Epsilon: 0.79
Episode: 25/500, Score: 22.0, Epsilon: 0.78
Episode: 26/500, Score: 18.0, Epsilon: 0.77
Episode: 27/500, Score: 55.0, Epsilon: 0.76
Episode: 28/500, Score: 13.0, Epsilon: 0.75
Episode: 29/500, Score: 40.0, Epsilon: 0.75
Episode: 30/500, Score: 65.0, Epsilon: 0.74
Episode: 31/500, Score: 26.0, Epsilon: 0.73
Episode: 32/500, Score: 24.0, Epsilon: 0.72
Episode: 33/500, Score: 73.0, Epsilon: 0.72
Episode: 34/500, Score: 104.0, Epsilon: 0.71
Episode: 35/500, Score: 23.0, Epsilon: 0.7
Episode: 36/500, Score: 52.0, Epsilon: 0.7
Episode: 37/500, Score: 72.0, Epsilon: 0.69
Episode: 38/500, Score: 88.0, Epsilon: 0.68
Episode: 39/500, Score: 52.0, Epsilon: 0.68
Episode: 40/500, Score: 114.0, Epsilon: 0.67
Episode: 41/500, Score: 17.0, Epsilon: 0.66
Episode: 42/500, Score: 37.0, Epsilon: 0.66
Episode: 43/500, Score: 187.0, Epsilon: 0.65
Episode: 44/500, Score: 26.0, Epsilon: 0.64
Episode: 45/500, Score: 49.0, Epsilon: 0.64
Episode: 46/500, Score: 22.0, Epsilon: 0.63
Episode: 47/500, Score: 32.0, Epsilon: 0.62
Episode: 48/500, Score: 94.0, Epsilon: 0.62
Episode: 49/500, Score: 66.0, Epsilon: 0.61
Episode: 50/500, Score: 70.0, Epsilon: 0.61
Episode: 51/500, Score: 79.0, Epsilon: 0.6
Episode: 52/500, Score: 90.0, Epsilon: 0.59
Episode: 53/500, Score: 102.0, Epsilon: 0.59
Episode: 54/500, Score: 14.0, Epsilon: 0.58
Episode: 55/500, Score: 107.0, Epsilon: 0.58
Episode: 56/500, Score: 104.0, Epsilon: 0.57
Episode: 57/500, Score: 85.0, Epsilon: 0.56
Episode: 58/500, Score: 117.0, Epsilon: 0.56
Episode: 59/500, Score: 108.0, Epsilon: 0.55
Episode: 60/500, Score: 190.0, Epsilon: 0.55
Episode: 61/500, Score: 150.0, Epsilon: 0.54
Episode: 62/500, Score: 83.0, Epsilon: 0.54
Episode: 63/500, Score: 64.0, Epsilon: 0.53
Episode: 64/500, Score: 94.0, Epsilon: 0.53
Episode: 65/500, Score: 102.0, Epsilon: 0.52
Episode: 66/500, Score: 147.0, Epsilon: 0.52
Episode: 67/500, Score: 84.0, Epsilon: 0.51
Episode: 68/500, Score: 23.0, Epsilon: 0.5
Episode: 69/500, Score: 217.0, Epsilon: 0.5
Episode: 70/500, Score: 110.0, Epsilon: 0.49
Episode: 71/500, Score: 69.0, Epsilon: 0.49
Episode: 72/500, Score: 175.0, Epsilon: 0.48
Episode: 73/500, Score: 56.0, Epsilon: 0.48
Episode: 74/500, Score: 127.0, Epsilon: 0.48
Episode: 75/500, Score: 182.0, Epsilon: 0.47
Episode: 76/500, Score: 147.0, Epsilon: 0.47
Episode: 77/500, Score: 151.0, Epsilon: 0.46
Episode: 78/500, Score: 150.0, Epsilon: 0.46
Episode: 79/500, Score: 44.0, Epsilon: 0.45
Episode: 80/500, Score: 108.0, Epsilon: 0.45
Episode: 81/500, Score: 150.0, Epsilon: 0.44
Episode: 82/500, Score: 136.0, Epsilon: 0.44
Episode: 83/500, Score: 140.0, Epsilon: 0.43
Episode: 84/500, Score: 168.0, Epsilon: 0.43
Episode: 85/500, Score: 173.0, Epsilon: 0.43
Episode: 86/500, Score: 115.0, Epsilon: 0.42
Episode: 87/500, Score: 116.0, Epsilon: 0.42
Episode: 88/500, Score: 144.0, Epsilon: 0.41
Episode: 89/500, Score: 54.0, Epsilon: 0.41
Episode: 90/500, Score: 91.0, Epsilon: 0.4
Episode: 91/500, Score: 210.0, Epsilon: 0.4
Episode: 92/500, Score: 104.0, Epsilon: 0.4
Episode: 93/500, Score: 55.0, Epsilon: 0.39
Episode: 94/500, Score: 176.0, Epsilon: 0.39
Episode: 95/500, Score: 19.0, Epsilon: 0.38
Episode: 96/500, Score: 40.0, Epsilon: 0.38
Episode: 97/500, Score: 195.0, Epsilon: 0.38
Episode: 98/500, Score: 266.0, Epsilon: 0.37
Episode: 99/500, Score: 164.0, Epsilon: 0.37
Episode: 100/500, Score: 304.0, Epsilon: 0.37
Episode: 101/500, Score: 173.0, Epsilon: 0.36
Episode: 102/500, Score: 163.0, Epsilon: 0.36
Episode: 103/500, Score: 59.0, Epsilon: 0.36
Episode: 104/500, Score: 217.0, Epsilon: 0.35
Episode: 105/500, Score: 249.0, Epsilon: 0.35
Episode: 106/500, Score: 187.0, Epsilon: 0.34
Episode: 107/500, Score: 349.0, Epsilon: 0.34
Episode: 108/500, Score: 53.0, Epsilon: 0.34
Episode: 109/500, Score: 192.0, Epsilon: 0.33
Episode: 110/500, Score: 199.0, Epsilon: 0.33
