Episode: 0/200, Score: 9.0, Epsilon: 1.0
Episode: 1/200, Score: 13.0, Epsilon: 0.99
Episode: 2/200, Score: 39.0, Epsilon: 0.98
Episode: 3/200, Score: 30.0, Epsilon: 0.97
Episode: 4/200, Score: 35.0, Epsilon: 0.96
Episode: 5/200, Score: 59.0, Epsilon: 0.95
Episode: 6/200, Score: 26.0, Epsilon: 0.94
Episode: 7/200, Score: 35.0, Epsilon: 0.93
Episode: 8/200, Score: 24.0, Epsilon: 0.92
Episode: 9/200, Score: 31.0, Epsilon: 0.91
Episode: 10/200, Score: 15.0, Epsilon: 0.9
Episode: 11/200, Score: 14.0, Epsilon: 0.9
Episode: 12/200, Score: 39.0, Epsilon: 0.89
Episode: 13/200, Score: 29.0, Epsilon: 0.88
Episode: 14/200, Score: 23.0, Epsilon: 0.87
Episode: 15/200, Score: 16.0, Epsilon: 0.86
Episode: 16/200, Score: 21.0, Epsilon: 0.85
Episode: 17/200, Score: 32.0, Epsilon: 0.84
Episode: 18/200, Score: 16.0, Epsilon: 0.83
Episode: 19/200, Score: 18.0, Epsilon: 0.83
Episode: 20/200, Score: 27.0, Epsilon: 0.82
Episode: 21/200, Score: 11.0, Epsilon: 0.81
Episode: 22/200, Score: 16.0, Epsilon: 0.8
Episode: 23/200, Score: 35.0, Epsilon: 0.79
Episode: 24/200, Score: 13.0, Epsilon: 0.79
Episode: 25/200, Score: 32.0, Epsilon: 0.78
Episode: 26/200, Score: 24.0, Epsilon: 0.77
Episode: 27/200, Score: 51.0, Epsilon: 0.76
Episode: 28/200, Score: 17.0, Epsilon: 0.75
Episode: 29/200, Score: 27.0, Epsilon: 0.75
Episode: 30/200, Score: 45.0, Epsilon: 0.74
Episode: 31/200, Score: 22.0, Epsilon: 0.73
Episode: 32/200, Score: 34.0, Epsilon: 0.72
Episode: 33/200, Score: 22.0, Epsilon: 0.72
Episode: 34/200, Score: 18.0, Epsilon: 0.71
Episode: 35/200, Score: 100.0, Epsilon: 0.7
Episode: 36/200, Score: 18.0, Epsilon: 0.7
Episode: 37/200, Score: 64.0, Epsilon: 0.69
Episode: 38/200, Score: 37.0, Epsilon: 0.68
Episode: 39/200, Score: 54.0, Epsilon: 0.68
Episode: 40/200, Score: 30.0, Epsilon: 0.67
Episode: 41/200, Score: 12.0, Epsilon: 0.66
Episode: 42/200, Score: 67.0, Epsilon: 0.66
Episode: 43/200, Score: 106.0, Epsilon: 0.65
Episode: 44/200, Score: 29.0, Epsilon: 0.64
Episode: 45/200, Score: 48.0, Epsilon: 0.64
Episode: 46/200, Score: 30.0, Epsilon: 0.63
Episode: 47/200, Score: 67.0, Epsilon: 0.62
Episode: 48/200, Score: 97.0, Epsilon: 0.62
Episode: 49/200, Score: 73.0, Epsilon: 0.61
Episode: 50/200, Score: 47.0, Epsilon: 0.61
Episode: 51/200, Score: 146.0, Epsilon: 0.6
Episode: 52/200, Score: 71.0, Epsilon: 0.59
Episode: 53/200, Score: 22.0, Epsilon: 0.59
Episode: 54/200, Score: 166.0, Epsilon: 0.58
Episode: 55/200, Score: 20.0, Epsilon: 0.58
Episode: 56/200, Score: 108.0, Epsilon: 0.57
Episode: 57/200, Score: 150.0, Epsilon: 0.56
Episode: 58/200, Score: 58.0, Epsilon: 0.56
Episode: 59/200, Score: 175.0, Epsilon: 0.55
Episode: 60/200, Score: 33.0, Epsilon: 0.55
Episode: 61/200, Score: 219.0, Epsilon: 0.54
Episode: 62/200, Score: 156.0, Epsilon: 0.54
Episode: 63/200, Score: 64.0, Epsilon: 0.53
Episode: 64/200, Score: 63.0, Epsilon: 0.53
Episode: 65/200, Score: 88.0, Epsilon: 0.52
Episode: 66/200, Score: 262.0, Epsilon: 0.52
Episode: 67/200, Score: 89.0, Epsilon: 0.51
Episode: 68/200, Score: 62.0, Epsilon: 0.5
Episode: 69/200, Score: 134.0, Epsilon: 0.5
Episode: 70/200, Score: 137.0, Epsilon: 0.49
Episode: 71/200, Score: 31.0, Epsilon: 0.49
Episode: 72/200, Score: 155.0, Epsilon: 0.48
Episode: 73/200, Score: 33.0, Epsilon: 0.48
Episode: 74/200, Score: 78.0, Epsilon: 0.48
Episode: 75/200, Score: 165.0, Epsilon: 0.47
Episode: 76/200, Score: 142.0, Epsilon: 0.47
Episode: 77/200, Score: 14.0, Epsilon: 0.46
Episode: 78/200, Score: 97.0, Epsilon: 0.46
Episode: 79/200, Score: 127.0, Epsilon: 0.45
Episode: 80/200, Score: 25.0, Epsilon: 0.45
Episode: 81/200, Score: 11.0, Epsilon: 0.44
Episode: 82/200, Score: 190.0, Epsilon: 0.44
Episode: 83/200, Score: 11.0, Epsilon: 0.43
Episode: 84/200, Score: 163.0, Epsilon: 0.43
Episode: 85/200, Score: 130.0, Epsilon: 0.43
Episode: 86/200, Score: 63.0, Epsilon: 0.42
Episode: 87/200, Score: 109.0, Epsilon: 0.42
Episode: 88/200, Score: 213.0, Epsilon: 0.41
Episode: 89/200, Score: 155.0, Epsilon: 0.41
Episode: 90/200, Score: 141.0, Epsilon: 0.4
Episode: 91/200, Score: 155.0, Epsilon: 0.4
Episode: 92/200, Score: 212.0, Epsilon: 0.4
Episode: 93/200, Score: 178.0, Epsilon: 0.39
Episode: 94/200, Score: 26.0, Epsilon: 0.39
Episode: 95/200, Score: 196.0, Epsilon: 0.38
Episode: 96/200, Score: 145.0, Epsilon: 0.38
Episode: 97/200, Score: 141.0, Epsilon: 0.38
Episode: 98/200, Score: 78.0, Epsilon: 0.37
Episode: 99/200, Score: 160.0, Epsilon: 0.37
Episode: 100/200, Score: 136.0, Epsilon: 0.37
Episode: 101/200, Score: 168.0, Epsilon: 0.36
Episode: 102/200, Score: 110.0, Epsilon: 0.36
Episode: 103/200, Score: 199.0, Epsilon: 0.36
Episode: 104/200, Score: 478.0, Epsilon: 0.35
Episode: 105/200, Score: 251.0, Epsilon: 0.35
Episode: 106/200, Score: 203.0, Epsilon: 0.34
Episode: 107/200, Score: 162.0, Epsilon: 0.34
Episode: 108/200, Score: 158.0, Epsilon: 0.34
Episode: 109/200, Score: 130.0, Epsilon: 0.33
Episode: 110/200, Score: 154.0, Epsilon: 0.33
Episode: 111/200, Score: 84.0, Epsilon: 0.33
Episode: 112/200, Score: 92.0, Epsilon: 0.32
Episode: 113/200, Score: 117.0, Epsilon: 0.32
Episode: 114/200, Score: 13.0, Epsilon: 0.32
Episode: 115/200, Score: 14.0, Epsilon: 0.31
Episode: 116/200, Score: 22.0, Epsilon: 0.31
Episode: 117/200, Score: 125.0, Epsilon: 0.31
Episode: 118/200, Score: 116.0, Epsilon: 0.31
Episode: 119/200, Score: 121.0, Epsilon: 0.3
Episode: 120/200, Score: 14.0, Epsilon: 0.3
Episode: 121/200, Score: 160.0, Epsilon: 0.3
Episode: 122/200, Score: 115.0, Epsilon: 0.29
Episode: 123/200, Score: 140.0, Epsilon: 0.29
Episode: 124/200, Score: 25.0, Epsilon: 0.29
Episode: 125/200, Score: 131.0, Epsilon: 0.28
Episode: 126/200, Score: 130.0, Epsilon: 0.28
Episode: 127/200, Score: 118.0, Epsilon: 0.28
Episode: 128/200, Score: 118.0, Epsilon: 0.28
Episode: 129/200, Score: 125.0, Epsilon: 0.27
Episode: 130/200, Score: 135.0, Epsilon: 0.27
Episode: 131/200, Score: 95.0, Epsilon: 0.27
Episode: 132/200, Score: 131.0, Epsilon: 0.27
Episode: 133/200, Score: 17.0, Epsilon: 0.26
Episode: 134/200, Score: 140.0, Epsilon: 0.26
Episode: 135/200, Score: 156.0, Epsilon: 0.26
Episode: 136/200, Score: 12.0, Epsilon: 0.25
Episode: 137/200, Score: 168.0, Epsilon: 0.25
Episode: 138/200, Score: 162.0, Epsilon: 0.25
Episode: 139/200, Score: 159.0, Epsilon: 0.25
Episode: 140/200, Score: 165.0, Epsilon: 0.24
Episode: 141/200, Score: 217.0, Epsilon: 0.24
Episode: 142/200, Score: 208.0, Epsilon: 0.24
Episode: 143/200, Score: 700.0, Epsilon: 0.24
Episode: 144/200, Score: 700.0, Epsilon: 0.24
Episode: 145/200, Score: 700.0, Epsilon: 0.23
Episode: 146/200, Score: 700.0, Epsilon: 0.23
Episode: 147/200, Score: 700.0, Epsilon: 0.23
Episode: 148/200, Score: 700.0, Epsilon: 0.23
Episode: 149/200, Score: 700.0, Epsilon: 0.22
Episode: 150/200, Score: 538.0, Epsilon: 0.22
Episode: 151/200, Score: 529.0, Epsilon: 0.22
Episode: 152/200, Score: 17.0, Epsilon: 0.22
Episode: 153/200, Score: 700.0, Epsilon: 0.21
Episode: 154/200, Score: 700.0, Epsilon: 0.21
Episode: 155/200, Score: 674.0, Epsilon: 0.21
Episode: 156/200, Score: 700.0, Epsilon: 0.21
Episode: 157/200, Score: 700.0, Epsilon: 0.21
Episode: 158/200, Score: 174.0, Epsilon: 0.2
Episode: 159/200, Score: 280.0, Epsilon: 0.2
Episode: 160/200, Score: 700.0, Epsilon: 0.2
Episode: 161/200, Score: 700.0, Epsilon: 0.2
Episode: 162/200, Score: 700.0, Epsilon: 0.2
Episode: 163/200, Score: 700.0, Epsilon: 0.19
Episode: 164/200, Score: 700.0, Epsilon: 0.19
Episode: 165/200, Score: 700.0, Epsilon: 0.19
Episode: 166/200, Score: 700.0, Epsilon: 0.19
Episode: 167/200, Score: 533.0, Epsilon: 0.19
Episode: 168/200, Score: 30.0, Epsilon: 0.18
